168827,125386
91310,226216
107086,126882
197803,125885
69545,202872
53406,160667
132050,141241
179644,59881
94704,118373
110265,98934
87136,200743
44478,253709
83478,250436
54455,203828
77011,231034
62801,84649
57336,159392
89103,212831
59313,162300
60566,172996
67164,49119
132386,81555
158161,52720
127746,156749
129593,106982
124863,139072
86817,154191
58008,188703
37095,111287
82617,247851
161219,53739
65208,124903
57286,171860
20223,120367
47560,142680
97953,110189
69013,207039
69807,145280
145607,106360
41851,125553
72074,103578
130245,84702
66964,200894
55299,165898
171417,121814
54121,95694
99919,130093
177144,113358
159725,114893
174838,83455
45464,113934
144459,151451
103482,164825
