year,y
2000,-17.7764516129
2002,-26.9800766283
2004,-21.9093103448
2006,-20.6444827586
2008,-12.8213793104
2010,-7.41749999999
2012,-10.3033333333
2014,-16.0085185185
2016,-18.5925925926
