year,y
2000,2.38777777778
2002,-5.53567251467
2004,1.20584795323
2006,-1.37894736841
2008,-9.77421052631
2010,8.35847953217
2012,-5.40444444445
2014,-7.48518518518
2016,-6.43333333333
