72803,147307
130837,98092
131169,113128
186397,95653
43577,124220
77361,172216
56798,122118
31771,167957
23054,180400
88512,137578
112703,115361
44475,152044
45575,118278
60917,151217
60468,126147
60468,105841
53176,118734
51716,72853
128394,69912
43197,46247
135979,46247
173490,46247
72744,111768
144055,96279
118308,73028
112774,76093
55056,102927
28493,88385
51534,104374
75948,153663
14740,76363
31697,77759
21342,131990
20457,69382
25561,98131
66706,114489
29159,85799
30883,85459
42037,81590
119455,59400
127857,74394
127161,65122
36890,70026
107482,85784
106472,87141
139822,84940
37679,50832
145481,88465
119088,59714
142247,97818
57488,86423
139460,70870
57230,104800
