185448,128588
76572,254194
104453,152513
220133,130845
67565,224526
57848,177565
145168,152133
136972,83035
98992,133163
124671,116470
83341,214868
91345,274035
29754,293117
77210,231630
70619,198578
70483,97473
77730,233192
93470,230460
64061,181802
74811,180980
75126,57282
158755,76211
167116,74468
144780,166034
138755,122406
111059,169248
81655,168977
59526,210883
57274,171824
77325,205279
94866,121070
62215,186646
110822,219397
53052,159156
47309,124044
88269,144348
79090,237272
68524,163590
150777,112679
35518,106554
69159,128164
149547,104689
52499,167017
59471,178413
182618,129231
54864,164593
88109,154759
178701,127715
155888,154267
179937,103646
54362,145162
139403,181253
97968,198988
