79970,189366
182119,90310
177738,100025
221926,117443
45120,138004
85244,226423
52446,166831
31074,224017
31278,215630
95349,182750
163582,182750
52593,171852
48439,144605
69564,182712
59953,154385
47992,129222
65117,148958
49973,103732
155354,64047
53231,61005
140721,51594
209384,51594
83926,153980
178660,96397
145575,80395
134596,107522
66946,125296
37868,115303
62871,133670
87465,216682
22048,89363
22048,119144
22048,166801
28175,82282
23591,125949
81666,151208
31960,118823
31960,116851
64832,100132
147617,69684
181605,69684
167632,78393
44004,86830
138768,78796
153523,76967
171318,90129
43099,65684
189004,93525
141658,79057
169025,105590
63526,111441
187799,74857
63897,146449
