60013,118669
117747,52455
121732,67136
147997,72860
34749,92726
62052,139750
36584,97849
20063,127684
25333,135893
42130,126390
104921,69035
38381,105597
26852,8950
48346,117055
41251,87482
32182,72370
40334,101632
47528,56181
106209,47403
25628,47627
87544,32584
120473,38988
62604,95752
120585,58755
80775,38674
95360,50081
48996,79815
23926,73771
40616,76036
54989,130604
12674,54569
23366,58530
16699,97779
17090,48734
18094,72401
50328,88198
20154,63445
23126,62600
38925,52256
92422,40265
91326,40155
98476,42090
20821,45374
76686,38021
87101,43692
108807,60890
24346,42501
122884,51058
94594,31531
111095,55855
40430,59541
118561,43526
43891,72252
