67853,197812
163459,118878
155424,137971
185790,183990
46002,164242
77073,229672
51166,170962
27614,204996
26917,238915
91877,192226
133104,164500
49258,200442
51447,166829
60610,190301
55489,170977
49399,146481
59037,168907
43397,130192
179245,59748
32118,93023
143498,66317
224549,74849
80385,171403
174492,125560
144660,105929
140615,108039
52852,145812
45823,137471
56727,146198
80930,242792
36985,110955
43380,130142
26536,186924
29266,98503
24169,150778
78543,171948
43780,131342
43403,130211
54533,125289
144923,86772
159486,99214
158404,104909
48312,108259
129937,123890
155166,111026
149818,122891
28626,85878
171658,125537
140300,90138
157502,141635
49345,148281
160724,111051
64658,161315
