state,gk_bias,symmetry,responsiveness
AL,20.6415331092,36.0885714286,1.34857142857
AK,12.7161083161,9.89,9.01
AZ,6.43022954739,8.495,4.2225
AR,-24.2082727713,-42.2888888889,1.28611111111
CA,-11.242012726,-21.6622641509,0.273165618444
CO,8.68819310895,16.2079365079,2.34761904761
CT,10.0,18.166,0.75
DE,5.2140434585,8.8,9.22
FL,18.044822504,31.6656,1.3952
GA,1.02750712303,0.94153846154,0.83846153846
HI,-5.17010664648,-8.01,8.155
ID,0.0,0.0,0.0
IL,0.382523557961,1.20584795323,0.5730994152
IN,0.674218978413,1.37999999998,1.71111111112
IA,18.2480810602,23.552,4.524
KS,7.030426081,13.0775,2.265
KY,13.4826319591,23.5466666667,3.22666666666
LA,7.1428571429,15.4285714286,0.36571428571
ME,-7.29721774866,-8.565,8.175
MD,-25.0,-48.04125,0.35
MA,-12.2378534444,-14.522,5.866
MI,10.0,19.8622222222,0.220740740744
MN,0.0,-0.859722222222,0.254166666667
MS,0.0,0.0,0.0
MO,5.5555555556,11.750617284,0.222222222222
MT,10.9152783759,8.36,9.06
NE,-16.6666666667,-27.07,1.35666666667
NV,8.58817860055,10.88,2.43
NH,7.59109580448,7.86,8.225
NJ,-3.8461538462,-7.23247863256,0.161538461544
NM,16.0626592435,29.8814814815,1.2962962963
NY,-11.9842545585,-21.9093103448,0.81862068965
NC,3.1112042919,2.53162393163,1.28205128206
ND,13.7969268045,9.19,9.23
OH,16.6666666667,32.1024691358,0.5413580247
OK,19.3948908662,31.776,2.868
OR,-19.7062831617,-30.524,2.944
PA,11.2634272784,20.6730994152,0.787134502922
RI,0.0,-3.1,3.195
SC,16.6666666667,31.4033333334,0.47
SD,-7.90606217377,-8.08888888889,8.04444444444
TN,-5.5555555556,-10.0296296297,0.240740740744
TX,9.01905235446,14.649375,1.8215625
UT,16.6666666667,31.4566666667,0.95333333334
VA,13.3777861902,18.6636363636,2.63545454545
WA,-13.441112628,-19.0366666667,1.93777777778
WV,-16.6666666667,-31.2133333334,0.28666666667
WI,0.0,0.227777777778,0.113888888889
WY,6.41689128654,10.29,9.09
