state,gk_bias,symmetry,responsiveness
AL,20.262986495,37.4128571429,0.93
AK,6.88762921476,9.09,9.01
AZ,14.4719522324,19.025,4.02833333334
AR,5.88955062491,18.0125,4.2875
CA,-4.59841215506,-8.29529914529,1.12072649572
CO,5.16386177227,8.37833333334,1.20333333333
CT,1.89584676436,6.48703703704,2.33148148148
DE,4.72176557376,8.21,9.23
FL,6.47072753425,10.5504347826,1.37565217391
GA,7.35828307234,11.4963636364,2.49818181818
HI,-11.4391202279,-8.715,6.565
ID,14.8622631584,13.775,7.0
IL,1.56933458261,2.38777777778,0.711111111111
IN,2.81654572884,4.09333333333,2.41444444444
IA,18.2612751689,28.658,3.232
KS,1.88559009776,5.485,1.7625
KY,4.02787065457,5.49166666666,3.80166666666
LA,19.9472418095,33.0828571429,2.10285714286
ME,-6.70410227392,-9.04,4.54
MD,0.0,-0.71,0.21625
MA,-12.740153061,-11.457,6.789
MI,-6.8496580783,-12.6541666667,0.625694444444
MN,-2.41612543913,-5.12125,1.6925
MS,-10.0,-19.6088888889,0.195555555556
MO,2.74676082435,3.93580246913,1.0901234568
MT,8.82573762588,5.17777777778,7.94444444444
NE,-8.76908141029,-13.4233333334,3.32
NV,0.0,-0.395,0.395
NH,9.46523478407,10.02,7.395
NJ,0.5693773668,1.26495726496,0.934188034189
NM,13.9417901291,27.7481481482,1.37037037038
NY,-9.9571729573,-17.7764516129,0.66870967742
NC,5.40466082495,8.33148148147,1.35648148148
ND,5.0,9.86363636364,9.09090909091
OH,5.40082967991,9.65029239767,0.850877192978
OK,17.3425230115,27.555,3.19166666666
OR,-20.7034643348,-35.616,2.516
PA,1.08007379856,2.99470899473,0.935449735456
RI,0.0,-5.145,2.935
SC,13.6120274365,22.9766666667,1.85
SD,7.03072099897,7.18,9.04
TN,5.5555555556,11.1111111112,0.0
TX,-7.13193113647,-14.6088888889,0.432592592589
UT,12.9664985064,18.3700000001,2.17666666667
VA,1.57712238322,1.8424242424,0.798989898989
WA,-9.01888890667,-11.9012345679,1.90864197531
WV,-16.6666666667,-32.6900000001,0.0
WI,-2.83621142647,-6.70370370371,0.567901234578
WY,13.3250269151,10.28,9.08
