state,gk_bias,symmetry,responsiveness
AL,30.2240150549,52.1585714286,2.72714285714
AK,9.70878938028,8.65,9.17
AZ,-5.5555555556,-10.0166666667,0.82444444444
AR,-1.13772719236,-2.4925,2.9525
CA,-6.16976591888,-10.7262264151,2.09660377358
CO,5.00797567301,8.70476190479,1.74126984128
CT,-4.71191063188,-5.776,5.31
DE,-7.41273713181,-8.41,8.36
FL,10.5023376315,19.3837037037,1.00185185185
GA,16.4714666407,30.6757142857,1.02214285714
HI,0.0,0.0,0.0
ID,11.1964380096,7.32,7.71
IL,-5.49415702497,-7.48518518518,1.49197530864
IN,18.0685237733,29.3511111111,3.72666666667
IA,3.86529418463,2.25555555556,5.03611111111
KS,-25.0,-50.0,0.0
KY,19.5483091427,32.8633333333,2.555
LA,27.4229911012,50.9783333333,1.83833333333
ME,0.0,-0.01,0.915
MD,-19.084571992,-32.4975,2.92625
MA,-17.6340480953,-26.4811111111,2.42222222222
MI,12.8311798083,26.0809523809,1.01031746031
MN,-0.922001755559,4.09583333333,2.56805555556
MS,25.0,49.715,0.285
MO,24.9876074335,44.4925,1.58125
MT,7.4584412343,10.4,9.0
NE,14.6184963407,22.25,1.88333333334
NV,-2.69621268611,-6.835,2.1425
NH,-11.875279255,-6.22777777778,6.13333333333
NJ,3.54444671983,6.22020202024,0.718181818189
NM,-16.6666666667,-27.5814814815,1.01481481482
NY,-8.94790371905,-16.0085185185,1.65777777778
NC,23.7957771687,40.2238461539,2.61538461539
ND,13.7988459431,9.86,9.1
OH,23.1734935198,40.33375,2.0375
OK,17.0667173736,23.942,5.276
OR,-20.5812770159,-32.764,3.404
PA,20.166016446,36.5475308642,1.7475308642
RI,-7.05814904758,-7.925,8.245
SC,16.5117533692,29.3757142857,3.57
SD,10.0392824959,8.98,9.1
TN,18.5309344982,35.1388888889,2.03666666667
TX,12.3628020315,19.6305555555,1.92166666667
UT,11.9618434593,16.4925,3.64
VA,20.1038425649,34.76,1.85909090909
WA,-5.51288307466,-8.66666666667,1.42888888889
WV,1.12817094451,-0.81333333331,5.45666666667
WI,12.5,22.4722222222,0.776388888889
WY,2.22718359046,8.1,8.88
