state,gk_bias,symmetry,responsiveness
AL,3.6258973477,6.25714285715,2.59571428572
AK,12.566405787,9.23,9.11
AZ,-6.71449174697,-15.05125,4.0775
AR,3.72238175872,0.225,3.47
CA,-10.2824849831,-18.8109433962,0.72056603773
CO,-0.45341336341,-4.45079365079,2.13015873016
CT,-5.40416301952,-6.356,5.678
DE,-12.7991538033,-9.95,7.9
FL,8.27119017735,14.916,1.762
GA,4.77503337479,10.3884615385,0.57153846153
HI,0.0,-0.44,0.845
ID,0.0,4.24,1.4
IL,3.99194816093,8.35847953217,1.30058479532
IN,5.64454714409,8.57666666667,2.12888888889
IA,-10.0,-13.032,1.746
KS,0.23472373024,-2.0225,4.925
KY,16.6666666667,32.3366666667,0.645
LA,19.3936947666,32.6414285715,1.57142857143
ME,-6.63093176638,-9.0,8.575
MD,-16.7428979161,-28.66375,2.4475
MA,0.100863366912,2.596,4.729
MI,3.79111064569,6.56666666667,1.9037037037
MN,-2.2280308635,-1.79166666667,2.29861111111
MS,6.34962816788,7.7,3.75277777778
MO,5.5555555556,12.9600000001,0.60555555555
MT,10.4085970853,7.93,9.07
NE,6.1295332003,8.56333333334,3.31666666666
NV,-3.98798052158,-12.7370370371,2.42592592593
NH,9.74741706648,6.13333333333,6.79444444444
NJ,-5.19341346461,-11.964957265,1.29401709401
NM,-2.28775675246,4.2296296296,5.11111111111
NY,-5.03875957315,-7.41749999999,2.48892857143
NC,-9.84474467462,-19.1025641026,0.767521367522
ND,12.998945507,8.2,9.08
OH,6.57676888805,9.91333333333,2.88277777777
OK,19.8540792834,37.87,2.162
OR,-16.9657139651,-26.3866666667,3.88666666667
PA,11.4664185641,16.085380117,3.18187134502
RI,-2.50357574643,-3.775,4.115
SC,9.71968169199,16.8366666667,2.69833333333
SD,10.73937634,3.22222222222,7.96666666667
TN,8.82887721045,14.65,2.60333333333
TX,11.0722333472,18.2934375,1.6540625
UT,16.6666666667,33.3333333334,0.0
VA,8.74043358813,13.7136363636,3.14909090909
WA,-3.62416581655,0.446913580233,3.43580246913
WV,-11.9697826105,-22.62,1.81333333334
WI,-0.994972744711,-0.37875,2.6075
WY,10.4788969108,8.65,8.89
