1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),Candidate Name (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (CT, NY)","COMBINED % (CT, NY)",FOOTNOTES,,,,,,,,,,,,,,,,,
40,Alabama,AL,5,n/a,,,,,District Votes:,,"76,358",,"20,361",,"307,282",,,,,,,,,,,,,,,,,,,,,,,
41,Alabama,AL,6,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,R,Unopposed,,,,"280,902",97.79%,,,,,,,,,,,,,,,,,,,,,,
42,Alabama,AL,6,n/a,,,Scattered,Scattered,,W,,,,,"6,335",2.21%,,,,,,,,,,,,,,,,,,,,,,
43,Alabama,AL,6,n/a,,,,,District Votes:,,,,,,"287,237",,,,,,,,,,,,,,,,,,,,,,,
44,Alabama,AL,7,H0AL07060,(I),Artur,Davis,"Davis, Artur",,D,Unopposed,,,,"228,518",98.63%,,,,,,,,,,,,,,,,,,,,,,
45,Alabama,AL,7,n/a,,,Scattered,Scattered,,W,,,,,"3,183",1.37%,,,,,,,,,,,,,,,,,,,,,,
46,Alabama,AL,7,n/a,,,,,District Votes:,,,,,,"231,701",,,,,,,,,,,,,,,,,,,,,,,
47,Alabama,AL,H,n/a,,,,,Total House Votes:,,"189,448",,"66,913",,"1,855,268",,,,,,,,,,,,,,,,,,,,,,,
48,Alabama,AL,S,S6AL00195,(I),Jeff,Sessions,"Sessions, Jeff",,R,"199,690",92.27%,,,"1,305,383",63.36%,,,,,,,,,,,,,,,,,,,,,,
49,Alabama,AL,S,S8AL00167,,Earl Mack,Gavin,"Gavin, Earl Mack",,R,"16,718",7.73%,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Alabama,AL,S,n/a,,,,,Party Votes:,R,"216,408",,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Alabama,AL,S,S8AL00282,,Vivian Davis,Figures,"Figures, Vivian Davis",,D,"112,074",63.72%,,,"752,391",36.52%,,,,,,,,,,,,,,,,,,,,,,
52,Alabama,AL,S,S0AL00149,,"Johnny, III",Swanson,"Swanson, Johnny, III",,D,"38,757",22.03%,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Alabama,AL,S,S8AL00290,,"Mark No NCAA""""""ark ""No """"rk """,Townsend,"Townsend, Mark No NCAA""""""ownsend",",,D,25","058""",14.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Alabama,AL,S,n/a,,,,,Party Votes:,D,"175,889",,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Alabama,AL,S,n/a,,,Scattered,Scattered,,W,,,,,"2,417",0.12%,,,,,,,,,,,,,,,,,,,,,,
56,Alabama,AL,S,n/a,,,,,Total Senate Votes:,,"392,297",,,,"2,060,191",,,,,,,,,,,,,,,,,,,,,,,
57,Alaska,AK,0,H6AK00045,(I),Don E.,Young,"Young, Don E.",,R,"48,195",45.47%,,,"158,939",50.14%,,,,,,,,,,,,,,,,,,,,,,
