#,STATE,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,"LAST NAME, FIRST",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,GE RUNOFF,GE RUNOFF %,"COMBINED GE PARTY TOTALS (NY, SC)","COMBINED % (NY, SC)",Notes (See Endnotes Tab)
1,Alabama,AL,01,H2AL01077,(I),Jo,Bonner,"Bonner, Jo",,REP,Unopposed,,,,"112,944",68.10%,,,,,
2,Alabama,AL,01,H6AL01052,,Vivian Sheffield,Beckerle,"Beckerle, Vivian Sheffield",,DEM,Unopposed,,,,"52,770",31.82%,,,,,
3,Alabama,AL,01,,,,Scattered,Scattered,,W,,,,,127,0.08%,,,,,
4,Alabama,AL,01,,,,,,District Votes:,,,,,,"165,841",,,,,,
5,Alabama,AL,02,H2AL02067,(I),Terry,Everett,"Everett, Terry",,REP,Unopposed,,,,"124,302",69.47%,,,,,
6,Alabama,AL,02,H4AL02063,,Charles (Chuck) Dean,James,"James, Charles (Chuck) Dean",,DEM,"36,058",70.60%,,,"54,450",30.43%,,,,,
7,Alabama,AL,02,H6AL02134,,"John, Jr.",Morykwas,"Morykwas, John, Jr.",,DEM,"15,016",29.40%,,,,,,,,,
8,Alabama,AL,02,,,,,,Party Votes:,DEM,"51,074",,,,,,,,,,
9,Alabama,AL,02,,,,Scattered,Scattered,,W,,,,,167,0.09%,,,,,
10,Alabama,AL,02,,,,,,District Votes:,,"51,074",,,,"178,919",,,,,,
11,Alabama,AL,03,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",,REP,Unopposed,,,,"98,257",59.44%,,,,,
12,Alabama,AL,03,H6AL03140,,Greg A.,Pierce,"Pierce, Greg A.",,DEM,Unopposed,,,,"63,559",38.45%,,,,,
13,Alabama,AL,03,H6AL03132,,Mark Edwin,Layfield,"Layfield, Mark Edwin",,IND,,,,,"3,414",2.07%,,,,,
14,Alabama,AL,03,,,,Scattered,Scattered,,W,,,,,71,0.04%,,,,,
15,Alabama,AL,03,,,,,,District Votes:,,,,,,"165,301",,,,,,
16,Alabama,AL,04,H6AL04098,(I),Robert B.,Aderholt,"Aderholt, Robert B.",,REP,Unopposed,,,,"128,484",70.18%,,,,,
17,Alabama,AL,04,H6AL04130,,Barbara,Bobo,"Bobo, Barbara",,DEM,Unopposed,,,,"54,382",29.71%,,,,,
18,Alabama,AL,04,,,,Scattered,Scattered,,W,,,,,206,0.11%,,,,,
19,Alabama,AL,04,,,,,,District Votes:,,,,,,"183,072",,,,,,
20,Alabama,AL,05,H0AL05049,(I),Bud,Cramer,"Cramer, Bud",,DEM,Unopposed,,,,"143,015",98.25%,,,,,
21,Alabama,AL,05,,,,Scattered,Scattered,,W,,,,,"2,540",1.75%,,,,,
22,Alabama,AL,05,,,,,,District Votes:,,,,,,"145,555",,,,,,
23,Alabama,AL,06,H2AL06035,(I),Spencer,Bachus,"Bachus, Spencer",,REP,Unopposed,,,,"163,514",98.32%,,,,,
24,Alabama,AL,06,,,,Scattered,Scattered,,W,,,,,"2,786",1.68%,,,,,
25,Alabama,AL,06,,,,,,District Votes:,,,,,,"166,300",,,,,,
26,Alabama,AL,07,H0AL07060,(I),Artur,Davis,"Davis, Artur",,DEM,"93,586",90.91%,,,"133,870",99.04%,,,,,
27,Alabama,AL,07,H6AL07166,,Eddison T.,Walters,"Walters, Eddison T.",,DEM,"9,358",9.09%,,,,,,,,,
28,Alabama,AL,07,,,,,,Party Votes:,DEM,"102,944",,,,,,,,,,
29,Alabama,AL,07,,,,Scattered,Scattered,,W,,,,,"1,294",0.96%,,,,,
30,Alabama,AL,07,,,,,,District Votes:,,"102,944",,,,"135,164",,,,,,
31,Alabama,AL,H,,,,,,House Votes:,,"154,018",,,,"1,140,152",,,,,,
32,Alaska,AK,00,H6AK00045,(I),Don E.,Young,"Young, Don E.",,REP,"81,089",100.00%,,,"132,743",56.57%,,,,,
33,Alaska,AK,00,,,,,,Party Votes:,REP,"81,089",,,,,,,,,,
34,Alaska,AK,00,H6AK00144,,Diane E.,Benson,"Benson, Diane E.",,DEM,"19,421",47.87%,,,"93,879",40.01%,,,,,
35,Alaska,AK,00,H6AK00169,,Ray ,Metcalfe,"Metcalfe, Ray ",,DEM,"16,529",40.74%,,,,,,,,,
36,Alaska,AK,00,H6AK00151,,Todd,Hyde,"Hyde, Todd",,DEM,"2,482",6.12%,,,,,,,,,
37,Alaska,AK,00,H6AK00136,,Frank,Vondersaar,"Vondersaar, Frank",,DEM,"2,141",5.28%,,,,,,,,,
38,Alaska,AK,00,,,,,,Party Votes:,DEM,"40,573",,,,,,,,,,
39,Alaska,AK,00,H6AK00193,,Alexander ,Crawford,"Crawford, Alexander ",,LBT,"3,176",82.22%,,,"4,029",1.72%,,,,,
40,Alaska,AK,00,H6AK00201,,Sol L. ,Gerstenfeld,"Gerstenfeld, Sol L. ",,LBT,687,17.78%,,,,,,,,,
41,Alaska,AK,00,,,,,,Party Votes:,LBT,"3,863",,,,,,,,,,
