1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
1163,KS,Kansas,1,H4KS01075,,James E.,Sherow,"Sherow, James E.",,D,"8,209",65.66%,,,"65,397",32.03%,,,,,,
1164,KS,Kansas,1,H4KS01042,,Bryan R.,Whitney,"Whitney, Bryan R.",,D,"4,293",34.34%,,,,,,,,,,
1165,KS,Kansas,1,n/a,,,,,Party Votes:,D,"12,502",,,,,,,,,,,
1166,KS,Kansas,1,n/a,,,,,District Votes:,,"90,457",,,,"204,161",,,,,,,
1167,KS,Kansas,2,H8KS02090,(I),Lynn,Jenkins,"Jenkins, Lynn",,R¾,"41,850",69.14%,,,"128,742",57.04%,,,,,W,
1168,KS,Kansas,2,H4KS02131,,Joshua Joel,Tucker,"Tucker, Joshua Joel",,R¾,"18,680",30.86%,,,,,,,,,,
1169,KS,Kansas,2,n/a,,,,,Party Votes:,R,"60,530",,,,,,,,,,,
1170,KS,Kansas,2,H4KS02115,,Margie,Wakefield,"Wakefield, Margie",,D,"18,337",100.00%,,,"87,153",38.62%,,,,,,
1171,KS,Kansas,2,n/a,,,,,Party Votes:,D,"18,337",,,,,,,,,,,
1172,KS,Kansas,2,H4KS02123,,Christopher ,Clemmons,"Clemmons, Christopher",,LIB,*,,,,"9,791",4.34%,,,,,,"*  The Libertarian Party nominated by convention on April 26, 2014.  Convention nominees are noted with an asterisk."
1173,KS,Kansas,2,n/a,,,,,District Votes:,,"78,867",,,,"225,686",,,,,,,
1174,KS,Kansas,3,H0KS03137,(I),Kevin,Yoder,"Yoder, Kevin",,R¾,"47,319",100.00%,,,"134,493",60.02%,,,,,W,
1175,KS,Kansas,3,n/a,,,,,Party Votes:,R,"47,319",,,,,,,,,,,
1176,KS,Kansas,3,H4KS03188,,Kelly,Kultala,"Kultala, Kelly",,D,"14,189",68.50%,,,"89,584",39.98%,,,,,,
1177,KS,Kansas,3,H4KS03170,,Reginald (Reggie),Marselus,"Marselus, Reginald (Reggie)",,D,"6,524",31.50%,,,,,,,,,,
1178,KS,Kansas,3,n/a,,,,,Party Votes:,D,"20,713",,,,,,,,,,,
1179,KS,Kansas,3,n/a,,,,,District Votes:,,"68,032",,,,"224,077",,,,,,,
1180,KS,Kansas,4,H0KS04051,(I),Mike,Pompeo,"Pompeo, Mike",,R,"43,564",62.65%,,,"138,757",66.66%,,,,,W,
1181,KS,Kansas,4,H4KS04087,,Todd,Tiahrt,"Tiahrt, Todd",,R,"25,977",37.35%,,,,,,,,,,
1182,KS,Kansas,4,n/a,,,,,Party Votes:,R,"69,541",,,,,,,,,,,
1183,KS,Kansas,4,H4KS04111,,Perry L.,Schuckman,"Schuckman, Perry L.",,D,"11,408",100.00%,,,"69,396",33.34%,,,,,,
1184,KS,Kansas,4,n/a,,,,,Party Votes:,D,"11,408",,,,,,,,,,,
1185,KS,Kansas,4,n/a,,,,,District Votes:,,"80,949",,,,"208,153",,,,,,,
1186,KS,Kansas,H,n/a,,,,,Total State Votes:,,"318,305",,,,"862,077",,,,,,,
1187,KS,Kansas,,n/a,,,,,,,,,,,,,,,,,,
1188,,,,n/a,,,,,,,,,,,,,,,,,,
1189,KY,Kentucky,1,H4KY01040,(I),Ed,Whitfield,"Whitfield, Ed",,R,Unopposed,,,,"173,022",73.12%,,,,,W,
1190,KY,Kentucky,1,H4KY01016,,Charles Kendall,Hatchett,"Hatchett, Charles Kendall",,D,"38,055",55.49%,,,"63,596",26.88%,,,,,,
1191,KY,Kentucky,1,H4KY01065,,Wesley Seaton,Bolin,"Bolin, Wesley Seaton",,D,"30,528",44.51%,,,,,,,,,,
1192,KY,Kentucky,1,n/a,,,,,Party Votes:,D,"68,583",,,,,,,,,,,
1193,KY,Kentucky,1,n/a,,,,,District Votes:,,"68,583",,,,"236,618",,,,,,,
1194,KY,Kentucky,2,H8KY02031,(I),S. Brett,Guthrie,"Guthrie, S. Brett",,R,Unopposed,,,,"156,936",69.19%,,,,,W,
1195,KY,Kentucky,2,H4KY02089,,Ron,Leach,"Leach, Ron",,D,Unopposed,,,,"69,898",30.81%,,,,,,
1196,KY,Kentucky,2,n/a,,,,,District Votes:,,,,,,"226,834",,,,,,,
1197,KY,Kentucky,3,H6KY03124,(I),John A.,Yarmuth,"Yarmuth, John A.",,D,"52,026",87.04%,,,"157,056",63.49%,,,,,W,
1198,KY,Kentucky,3,H4KY03236,,E. Ray,Pierce,"Pierce, E. Ray",,D,"7,747",12.96%,,,,,,,,,,
1199,KY,Kentucky,3,n/a,,,,,Party Votes:,D,"59,773",,,,,,,,,,,
1200,KY,Kentucky,3,H4KY03210,,Michael,Macfarlane,"Macfarlane, Michael",,R,Unopposed,,,,"87,981",35.57%,,,,,,
1201,KY,Kentucky,3,H4KY03244,,Gregory Peter,Puccetti,"Puccetti, Gregory Peter",,IND,Unopposed,,,,"2,318",0.94%,,,,,,
1202,KY,Kentucky,3,n/a,,,,,District Votes:,,"59,773",,,,"247,355",,,,,,,
1203,KY,Kentucky,4,H2KY04121,(I),Thomas,Massie,"Massie, Thomas",,R,Unopposed,,,,"150,464",67.73%,,,,,W,
1204,KY,Kentucky,4,H8KY06065,,Peter,Newberry,"Newberry, Peter",,D,Unopposed,,,,"71,694",32.27%,,,,,,
1205,KY,Kentucky,4,n/a,,,,,District Votes:,,,,,,"222,158",,,,,,,
1206,KY,Kentucky,5,H0KY05015,(I),"Harold ""Hal"" ",Rogers,"Rogers, Harold ""Hal"" ",,R,Unopposed,,,,"171,350",78.25%,,,,,W,
1207,KY,Kentucky,5,H6KY05111,,Kenneth S. ,Stepp,"Stepp, Kenneth S. ",,D,"38,949",58.84%,,,"47,617",21.75%,,,,,,
1208,KY,Kentucky,5,H2KY05136,,Billy Ray,Wilson,"Wilson, Billy Ray",,D,"27,246",41.16%,,,,,,,,,,
1209,KY,Kentucky,5,n/a,,,,,Party Votes:,D,"66,195",,,,,,,,,,,
1210,KY,Kentucky,5,n/a,,,,,District Votes:,,"66,195",,,,"218,967",,,,,,,
1211,KY,Kentucky,6,H0KY06104,(I),Andy,Barr,"Barr, Andy",,R,Unopposed,,,,"147,404",59.99%,,,,,W,
1212,KY,Kentucky,6,H4KY06130,,Elisabeth,Jensen,"Jensen, Elisabeth",,D,"46,727",60.87%,,,"98,290",40.01%,,,,,,
1213,KY,Kentucky,6,H4KY06163,,"Geoffrey M. ""Geoff""",Young,"Young, Geoffrey M. ""Geoff""",,D,"30,035",39.13%,,,,,,,,,,
1214,KY,Kentucky,6,n/a,,,,,Party Votes:,D,"76,762",,,,,,,,,,,
1215,KY,Kentucky,6,n/a,,,,,District Votes:,,"76,762",,,,"245,694",,,,,,,
1216,KY,Kentucky,H,n/a,,,,,Total State Votes:,,"271,313",,,,"1,397,626",,,,,,,
1217,,,,n/a,,,,,,,,,,,,,,,,,,
1218,LA,Louisiana,1,H0LA01087,(I),Steve,Scalise,"Scalise, Steve",,R,n/a,,,,"189,250",77.56%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1219,LA,Louisiana,1,H6LA02173,,"M.V. ""Vinny""",Mendoza,"Mendoza, M.V. ""Vinny""",,D,n/a,,,,"24,761",10.15%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1220,LA,Louisiana,1,H4LA01147 ,,Lee A.,Dugas,"Dugas, Lee A.",,D,n/a,,,,"21,286",8.72%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1221,LA,Louisiana,1,H4LA01139,,"Jeffry ""Jeff""",Sanford,"Sanford, Jeffry ""Jeff""",,LIB,n/a,,,,"8,707",3.57%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1222,LA,Louisiana,1,n/a,,,,,District Votes:,,,,,,"244,004",,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1223,LA,Louisiana,2,H8LA02054,(I),Cedric,Richmond,"Richmond, Cedric",,D,n/a,,,,"152,201",68.69%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1224,LA,Louisiana,2,H2LA02107,,Gary,Landrieu,"Landrieu, Gary",,D,n/a,,,,"37,805",17.06%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1225,LA,Louisiana,2,H4LA02103 ,,David,Brooks,"Brooks, David",,NPA,n/a,,,,"16,327",7.37%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1226,LA,Louisiana,2,H4LA02087,,Samuel,Davenport,"Davenport, Samuel",,LIB,n/a,,,,"15,237",6.88%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1227,LA,Louisiana,2,n/a,,,,,District Votes:,,,,,,"221,570",,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1228,LA,Louisiana,3,H4LA07029,(I),"Charles W., Jr.",Boustany,"Boustany, Charles W., Jr.",,R,n/a,,,,"185,867",78.67%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1229,LA,Louisiana,3,H4LA03119,,Russell,Richard,"Richard, Russell",,NPA,n/a,,,,"28,342",12.00%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1230,LA,Louisiana,3,H2LA03063,,Bryan,Barrilleaux,"Barrilleaux, Bryan",,R,n/a,,,,"22,059",9.34%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1231,LA,Louisiana,3,n/a,,,,,District Votes:,,,,,,"236,268",,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1232,LA,Louisiana,4,H8LA04225,(I),John,Fleming,"Fleming, John",,R,n/a,,,,"152,683",73.43%,,,,,W,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1233,LA,Louisiana,4,H2LA04129,,Randall,Lord,"Lord, Randall",,LIB,n/a,,,,"55,236",26.57%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1234,LA,Louisiana,4,n/a,,,,,District Votes:,,,,,,"207,919",,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1235,LA,Louisiana,5,H4LA05221,,Ralph Lee,Abraham,"Abraham, Ralph Lee",,R,n/a,,,,"55,489",23.16%,"134,616",64.22%,,,W (Runoff),"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1236,LA,Louisiana,5,H4LA05080 ,,"""Jamie""",Mayo,"Mayo, ""Jamie""",,D,n/a,,,,"67,611",28.22%,"75,006",35.78%,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1237,LA,Louisiana,5,H4LA05247,,"""Zach""",Dasher,"Dasher, ""Zach""",,R,n/a,,,,"53,628",22.39%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1238,LA,Louisiana,5,H4AL05130,(I),Vance M.,McAllister,"McAllister, Vance M.",,R,n/a,,,,"26,606",11.11%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1239,LA,Louisiana,5,H0LA08017,,Clyde C.,Holloway,"Holloway, Clyde C.",,R,n/a,,,,"17,877",7.46%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1240,LA,Louisiana,5,H4LA05239,,Harris,Brown,"Brown, Harris",,R,n/a,,,,"9,890",4.13%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1241,LA,Louisiana,5,H4LA05213,,"""Ed""",Tarpley,"Tarpley, ""Ed""",,R,n/a,,,,"4,594",1.92%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1242,LA,Louisiana,5,H4LA05262,,Charles,Saucier,"Saucier, Charles",,LIB,n/a,,,,"2,201",0.92%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1243,LA,Louisiana,5,H4LA05098,,Eliot S.,Barron,"Barron, Eliot S.",,GRE,n/a,,,,"1,655",0.69%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1244,LA,Louisiana,5,n/a,,,,,District Votes:,,,,,,"239,551",,"209,622",,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1245,LA,Louisiana,6,H4LA06153,,Garret,Graves,"Graves, Garret",,R,n/a,,,,"70,715",27.36%,"139,209",62.43%,,,W (Runoff),"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1246,LA,Louisiana,6,H4LA06161,,Edwin,Edwards,"Edwards, Edwin",,D,n/a,,,,"77,866",30.12%,"83,781",37.57%,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1247,LA,Louisiana,6,H4LA06088,,"Paul, II",Dietzel,"Dietzel, Paul, II",,R,n/a,,,,"35,024",13.55%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1248,LA,Louisiana,6,H4LA06112,,"""Dan""",Claitor,"Claitor, ""Dan""",,R,n/a,,,,"26,524",10.26%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1249,LA,Louisiana,6,H4LA06179,,Lenar,Whitney,"Whitney, Lenar",,R,n/a,,,,"19,151",7.41%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1250,LA,Louisiana,6,H4LA06062,,Richard,Lieberman,"Lieberman, Richard",,D,n/a,,,,"7,309",2.83%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1251,LA,Louisiana,6,H4LA06146,,Craig,McCulloch,"McCulloch, Craig",,R,n/a,,,,"5,815",2.25%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1252,LA,Louisiana,6,H6LA07081,,"Robert Lamar ""Bob""",Bell,"Bell, Robert Lamar ""Bob""",,R,n/a,,,,"5,182",2.00%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1253,LA,Louisiana,6,H4LA05171,,Peter,Williams,"Williams, Peter",,D,n/a,,,,"4,037",1.56%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1254,LA,Louisiana,6,H4LA06047,,"Rufus Holt, Jr.",Craig,"Craig, Rufus Holt, Jr.",,LIB,n/a,,,,"3,561",1.38%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1255,LA,Louisiana,6,H4LA06138,,"Norman ""Norm""",Clark,"Clark, Norman ""Norm""",,R,n/a,,,,"1,848",0.71%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1256,LA,Louisiana,6,H4LA06120,,"""Trey""",Thomas,"Thomas, ""Trey""",,R,n/a,,,,"1,447",0.56%,,,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1257,LA,Louisiana,6,n/a,,,,,District Votes:,,,,,,"258,479",,"222,990",,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1258,LA,Louisiana,H,n/a,,,,,Total State Votes:,,,,,,"1,407,791",,"432,612",,,,,"*  In Louisiana, a Congressional primary election is not held. In 2014, the election for candidates seeking Federal office was the General Election (held on 11/4/2014), with a Runoff Election held on 12/6/14, if necessary."
1259,LA,Louisiana,,n/a,,,,,,,,,,,,,,,,,,
1260,,,,n/a,,,,,,,,,,,,,,,,,,
1261,ME,Maine,1,H8ME01120 ,(I),Chellie,Pingree,"Pingree, Chellie",,D,"30,950",100.00%,,,"186,674",60.43%,,,,,W,
1262,ME,Maine,1,n/a,,,,,Party Votes:,D,"30,950",,,,,,,,,,,
1263,ME,Maine,1,H4ME01137,,Isaac J. ,Misiuk,"Misiuk, Isaac J. ",,R,"17,061",100.00%,,,"94,751",30.67%,,,,,,
1264,ME,Maine,1,n/a,,,,,Party Votes:,R,"17,061",,,,,,,,,,,
1265,ME,Maine,1,H4ME00014,,Richard P.,Murphy,"Murphy, Richard P.",,IND,,,,,"27,410",8.87%,,,,,,
1266,ME,Maine,1,n/a,,,Others,Others,,W,,,,,63,0.02%,,,,,,
1267,ME,Maine,1,n/a,,,,,District Votes:,,"48,011",,,,"308,898",,,,,,,
1268,ME,Maine,,n/a,,,,,,,,,,,,,,,,,,
1269,ME,Maine,2,H4ME02234,,Bruce ,Poliquin,"Poliquin, Bruce ",,R,"19,736",56.84%,,,"133,308",47.03%,,,,,W,
1270,ME,Maine,2,H2ME02071 ,,Kevin L.,Raye,"Raye, Kevin L.",,R,"14,987",43.16%,,,,,,,,,,
1271,ME,Maine,2,n/a,,,,,Party Votes:,R,"34,723",,,,,,,,,,,
1272,ME,Maine,2,H4ME02200 ,,Emily Ann,Cain,"Cain, Emily Ann",,D,"19,906",71.04%,,,"118,556",41.83%,,,,,,
1273,ME,Maine,2,H4ME02218 ,,Troy Dale ,Jackson,"Jackson, Troy Dale ",,D,"8,116",28.96%,,,,,,,,,,
1274,ME,Maine,2,n/a,,,,,Party Votes:,D,"28,022",,,,,,,,,,,
1275,ME,Maine,2,H2ME02154,,Blaine,Richardson,"Richardson, Blaine",,IND,,,,,"31,336",11.06%,,,,,,
1276,ME,Maine,2,n/a,,,Others,Others,,W,,,,,248,0.09%,,,,,,
1277,ME,Maine,2,n/a,,,,,District Votes:,,"62,745",,,,"283,448",,,,,,,
1278,ME,Maine,H,n/a,,,,,Total State Votes:,,"110,756",,,,"592,346",,,,,,,
1279,ME,Maine,,n/a,,,,,,,,,,,,,,,,,,
1280,,,,n/a,,,,,,,,,,,,,,,,,,
1281,MD,Maryland,1,H8MD01094,(I),Andy,Harris,"Harris, Andy",,R,"45,477",77.88%,,,"176,342",70.42%,,,,,W,
1282,MD,Maryland,1,H4MD01127,,"Jonathan, Jr. ",Goff,"Goff, Jonathan, Jr. ",,R,"12,913",22.12%,,,,,,,,,,
1283,MD,Maryland,1,n/a,,,,,Party Votes:,R,"58,390",,,,,,,,,,,
1284,MD,Maryland,1,H4MD01101,,Bill,Tilghman,"Tilghman, Bill",,D,"19,937",57.12%,,,"73,843",29.49%,,,,,,
1285,MD,Maryland,1,H2MD01154,,John J.,LaFerla,"LaFerla, John J.",,D,"14,965",42.88%,,,,,,,,,,
1286,MD,Maryland,1,n/a,,,,,Party Votes:,D,"34,902",,,,,,,,,,,
1287,MD,Maryland,1,n/a,,,Scattered,Scattered ,,W,,,,,233,0.09%,,,,,,
1288,MD,Maryland,1,n/a,,,,,District Votes:,,"93,292",,,,"250,418",,,,,,,
1289,MD,Maryland,2,H2MD02160,(I),C. A. Dutch ,Ruppersberger,"Ruppersberger, C. A. Dutch ",,D,"43,614",77.57%,,,"120,412",61.32%,,,,,W,
1290,MD,Maryland,2,H4MD02190,,Paul,Rundquist,"Rundquist, Paul",,D,"6,450",11.47%,,,,,,,,,,
1291,MD,Maryland,2,H2MD02020,,Blaine,Taylor,"Taylor, Blaine",,D,"6,164",10.96%,,,,,,,,,,
1292,MD,Maryland,2,n/a,,,,,Party Votes:,D,"56,228",,,,,,,,,,,
1293,MD,Maryland,2,H4MD02174,,David ,Banach,"Banach, David ",,R,"14,990",100.00%,,,"70,411",35.86%,,,,,,
1294,MD,Maryland,2,n/a,,,,,Party Votes:,R,"14,990",,,,,,,,,,,
1295,MD,Maryland,2,H4MD02166,,Ian,Schlakman,"Schlakman, Ian",,GRE,*,,,,"5,326",2.71%,,,,,,"*  The Green Party held a party-organized primary on May 31, 2014.  The nominees are noted with an asterisk."
1296,MD,Maryland,2,n/a,,,Scattered,Scattered ,,W,,,,,205,0.10%,,,,,,
1297,MD,Maryland,2,n/a,,,,,District Votes:,,"71,218",,,,"196,354",,,,,,,
1298,MD,Maryland,3,H6MD03292,(I),John ,Sarbanes,"Sarbanes, John ",,D,"54,926",85.17%,,,"128,594",59.55%,,,,,W,
1299,MD,Maryland,3,H4MD03115,,Matthew,Molyett,"Molyett, Matthew",,D,"9,564",14.83%,,,,,,,,,,
1300,MD,Maryland,3,n/a,,,,,Party Votes:,D,"64,490",,,,,,,,,,,
1301,MD,Maryland,3,H4MD03123 ,,Charles A.,Long,"Long, Charles A.",,R,"7,597",43.60%,,,"87,029",40.30%,,,,,,
1302,MD,Maryland,3,H8MD03082,,"Thomas E. ""Pinkston""",Harris,"Harris, Thomas E. ""Pinkston""",,R,"7,303",41.91%,,,,,,,,,,
1303,MD,Maryland,3,H2MD03127,,Michael,Jackson,"Jackson, Michael",,R,"2,524",14.49%,,,,,,,,,,
1304,MD,Maryland,3,n/a,,,,,Party Votes:,R,"17,424",,,,,,,,,,,
1305,MD,Maryland,3,n/a,,,Scattered,Scattered ,,W,,,,,323,0.15%,,,,,,
1306,MD,Maryland,3,n/a,,,,,District Votes:,,"81,914",,,,"215,946",,,,,,,
1307,MD,Maryland,4,H6MD04183,(I),Donna F. ,Edwards,"Edwards, Donna F. ",,D,"53,648",86.99%,,,"134,628",70.18%,,,,,W,
1308,MD,Maryland,4,H4MD04113,,Warren,Christopher,"Christopher, Warren",,D,"8,021",13.01%,,,,,,,,,,
1309,MD,Maryland,4,n/a,,,,,Party Votes:,D,"61,669",,,,,,,,,,,
1310,MD,Maryland,4,H4MD04121,,Nancy ,Hoyt,"Hoyt, Nancy ",,R,"5,368",37.61%,,,"54,217",28.26%,,,,,,
1311,MD,Maryland,4,H2MD04240,,Greg,Holmes,"Holmes, Greg",,R,"3,469",24.31%,,,,,,,,,,
1312,MD,Maryland,4,H4MD04071,,George ,McDermott,"McDermott, George ",,R,"2,740",19.20%,,,,,,,,,,
1313,MD,Maryland,4,H4MD04139,,John R. ,Graziani,"Graziani, John R. ",,R,"2,695",18.88%,,,,,,,,,,
1314,MD,Maryland,4,n/a,,,,,Party Votes:,R,"14,272",,,,,,,,,,,
1315,MD,Maryland,4,H2MD05510 ,,Arvin,Vohra,"Vohra, Arvin",,LIB,*,,,,"2,795",1.46%,,,,,,"*  The Libertarian Party held conventions on November 9, 2013, and April 5, 2014.  The nominees are noted with an asterisk."
1316,MD,Maryland,4,n/a,,,Scattered,Scattered ,,W,,,,,197,0.10%,,,,,,
1317,MD,Maryland,4,n/a,,,,,District Votes:,,"75,941",,,,"191,837",,,,,,,
1318,MD,Maryland,5,H2MD05155,(I),Steny H. ,Hoyer,"Hoyer, Steny H. ",,D,"57,240",100.00%,,,"144,725",64.03%,,,,,W,
1319,MD,Maryland,5,n/a,,,,,Party Votes:,D,"57,240",,,,,,,,,,,
1320,MD,Maryland,5,H4MD05169,,Chris,Chaffee,"Chaffee, Chris",,R,"8,137",41.60%,,,"80,752",35.72%,,,,,,
1321,MD,Maryland,5,H4MD05144,,Mark Kenneth,Arness,"Arness, Mark Kenneth",,R,"6,050",30.93%,,,,,,,,,,
1322,MD,Maryland,5,H4MD05151,,Tom,Potter,"Potter, Tom",,R,"5,374",27.47%,,,,,,,,,,
1323,MD,Maryland,5,n/a,,,,,Party Votes:,R,"19,561",,,,,,,,,,,
1324,MD,Maryland,5,n/a,,,Scattered,Scattered ,,W,,,,,336,0.15%,,,,,,
1325,MD,Maryland,5,H4MD05177,,Dennis L.,Fritz,"Fritz, Dennis L.",,W,,,,,227,0.10%,,,,,,
1326,MD,Maryland,5,n/a,,,,,District Votes:,,"76,801",,,,"226,040",,,,,,,
1327,MD,Maryland,6,H2MD06195,(I),John K.,Delaney,"Delaney, John K.",,D,"33,289",100.00%,,,"94,704",49.70%,,,,,W,
1328,MD,Maryland,6,n/a,,,,,Party Votes:,D,"33,289",,,,,,,,,,,
1329,MD,Maryland,6,H4MD06191,,Dan ,Bongino,"Bongino, Dan ",,R,"23,933",83.53%,,,"91,930",48.25%,,,,,,
1330,MD,Maryland,6,H4MD06209,,"Harold W., Jr",Painter,"Painter, Harold W., Jr",,R,"4,718",16.47%,,,,,,,,,,
