1,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,PRIMARY %,RUNOFF VOTES,RUNOFF %,GENERAL VOTES ,GENERAL %,GE RUNOFF ELECTION VOTES (LA),GE RUNOFF ELECTION % (LA),"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",GE WINNER INDICATOR,FOOTNOTES
55,AK,Alaska,0,H4AK00131,,"David F. ""Dave""",Dohner,"Dohner, David F. ""Dave""",,R,"5,373",5.03%,,,,,,,,,,
56,AK,Alaska,0,n/a,,,,,Party Votes:,R,"106,867",,,,,,,,,,,
57,AK,Alaska,0,H4AK00123,,Forrest ,Dunbar,"Dunbar, Forrest ",,D,"38,735",80.92%,,,"114,602",40.97%,,,,,,
58,AK,Alaska,0,H4AK00057,,Frank J.,Vondersaar,"Vondersaar, Frank J.",,D,"9,132",19.08%,,,,,,,,,,
59,AK,Alaska,0,n/a,,,,,Party Votes:,D,"47,867",,,,,,,,,,,
60,AK,Alaska,0,H2AK00143,,Jim C.,McDermott,"McDermott, Jim C.",,LIB,"13,437",100.00%,,,"21,290",7.61%,,,,,,
61,AK,Alaska,0,n/a,,,,,Party Votes:,LIB,"13,437",,,,,,,,,,,
62,AK,Alaska,0,n/a,,,,Scattered,,W,,,,,"1,277",0.46%,,,,,,
63,AK,Alaska,0,n/a,,,,,District Votes:,,"168,171",,,,"279,741",,,,,,,
64,AK,Alaska,H,n/a,,,,,Total State Votes:,,"168,171",,,,"279,741",,,,,,,
65,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
66,AK,Alaska,,n/a,,,,,,,,,,,,,,,,,,
67,,,,n/a,,,,,,,,,,,,,,,,,,
68,AS,American Samoa,0,H4AS00036,,Aumua,Amata,"Amata, Aumua",,R,,,,,"4,306",42.03%,,,,,W,
69,AS,American Samoa,0,H0AS00018,(I),Eni F. H.,Faleomavaega,"Faleomavaega, Eni F. H.",,D,,,,,"3,157",30.81%,,,,,,
70,AS,American Samoa,0,H4AS00085,,Togiola,Tulafono,"Tulafono, Togiola",,D,,,,,"1,130",11.03%,,,,,,
71,AS,American Samoa,0,H4AS00069,,Mapu S.,Jamias,"Jamias, Mapu S.",,D,,,,,652,6.36%,,,,,,
72,AS,American Samoa,0,H8AS00052,,Rosie Fuala'au Tago,Lancaster,"Lancaster, Rosie Fuala'au Tago",,IND,,,,,268,2.62%,,,,,,
73,AS,American Samoa,0,H4AS00093,,Meleagi,Suitonu-Chapman,"Suitonu-Chapman, Meleagi",,D,,,,,229,2.24%,,,,,,
74,AS,American Samoa,0,H2AS00030,,Tuika,Tuika,"Tuika, Tuika",,IND,,,,,201,1.96%,,,,,,
75,AS,American Samoa,0,H2AS00055,,"Tu_'au Kereti, Jr.",M_ta'utia,"M_ta'utia, Tu_'au Kereti, Jr.",,D,,,,,160,1.56%,,,,,,
76,AS,American Samoa,0,H4AS00077,,Mark,Ude,"Ude, Mark",,IND,,,,,143,1.40%,,,,,,
77,AS,American Samoa,,n/a,,,,,District Votes:,,,,,,"10,246",,,,,,,
78,AS,American Samoa,H,n/a,,,,,Total State Votes:,,,,,,"10,246",,,,,,,
79,,,,n/a,,,,,,,,,,,,,,,,,,
