STATE ABBREVIATION,DISTRICT,INCUMBENT INDICATOR,NAME,PARTY,PRIMARY RESULTS,RUNOFF RESULTS,GENERAL ,COMBINED PARTIES
CA,5,,"Lang, Cullene ",LBT,"2,815",,"2,919",
CA,5,,"Kersey, Charles ",NL,"1,838",,"1,975",
CA,5,,"Payne, Ken ",R,"38,158",,"55,945",
CA,6,(I),"Woolsey, Lynn ",D,"135,941",,"182,116",
CA,6,,"Moscoso, Justin ""Justo"" ",GRN,"4,781",,"13,248",
CA,6,,"Barton, Richard O. ",LBT,"4,043",,"4,691",
CA,6,,"Barreca, Alan ",NL,"2,591",,"2,894",
CA,6,,"McAuliffe, Ken ",R,"57,478",,"80,169",
CA,7,(I),"Miller, George ",D,"98,451",,"159,692",
CA,7,,"Sproul, Martin ",NL,"2,792",,"4,943",
CA,7,,"Hoffman, Christopher A. ",R,"18,926",,"44,154",
CA,7,,"Mraovich, Nicholas ""Nick"" ",R,"10,503",,,
CA,8,(I),"Pelosi, Nancy ",D,"109,246",,"181,847",
CA,8,,"Bauman, Erik ",LBT,"3,575",,"5,645",
CA,8,,"Smithstein, David ",NL,"1,389",,"2,638",
CA,8,,"Sparks, Adam ",R,"13,501",,"25,298",
CA,9,(I),"Lee, Barbara ",D,"117,173",,"182,352",
CA,9,,"Foldvary, Fred E. ",LBT,"4,565",,"7,051",
CA,9,,"Jefferds, Ellen ",NL,"2,333",,"4,214",
CA,9,,"Washington, Arneze ",R,"13,563",,"21,033",
CA,10,(I),"Tauscher, Ellen O. ",D,"110,702",,"160,429",
CA,10,,"Janlois, Valerie ",NL,"5,324",,"9,527",
CA,10,,"Blake, Gordon ",R,"30,532",,,
CA,10,,"Hutchison, Claude B. Jr.",R,"36,257",,"134,863",
CA,10,,"Kilian, Dennis M. ",R,"21,039",,,
CA,11,,"Figueroa, Robert L. ",D,"19,152",,,
CA,11,,"Santos, Tom Y. ",D,"30,817",,"79,539",
CA,11,,"Russow, Kathryn A. ",LBT,"3,273",,"5,036",
CA,11,,"Kurey, Jon A. ",NL,"2,388",,"3,397",
CA,11,(I),"Pombo, Richard W. ",R,"87,160",,"120,635",
CA,12,(I),"Lantos, Tom ",D,"103,807",,"158,404",
CA,12,,"Less, Barbara J. ",LBT,"4,098",,"6,431",
CA,12,,"Young, Rifkin ",NL,"1,788",,"3,559",
CA,12,,"Evans, Bob ",R,"8,274",,,
CA,12,,"Garza, Mike ",R,"14,165",,"44,162",
CA,12,,"Williams, James D. Jr.",R,"7,694",,,
CA,13,,"Grundmann, Don J. ",AIP,"1,373",,"2,365",
CA,13,(I),"Stark, Fortney Pete ",D,"77,905",,"129,012",
CA,13,,"Mora, Howard ",LBT,"2,421",,"4,623",
CA,13,,"Hoehner, Timothy R. ",NL,"1,400",,"2,647",
CA,13,,"Duffy, Saundra ",R,"7,736",,,
CA,13,,"Goetz, James R. ""Jim"" ",R,"22,488",,"44,499",
CA,14,(I),"Eshoo, Anna G. ",D,"111,136",,"161,720",
CA,14,,"Dehn, Joseph W. III",LBT,"3,193",,"4,715",
CA,14,,"Black, John ",NL,"2,121",,"4,489",
CA,14,,"Delue, Craig L. ",R,"11,662",,,
CA,14,,"Manzler, Henry E. (Bud) ",R,"11,453",,,
CA,14,,"Quraishi, Bill ",R,"17,817",,"59,338",
CA,15,,"Honda, Mike ",D,"62,876",,"128,545",
CA,15,,"Lane, Dick ",D,"3,968",,,
CA,15,,"Parker, Robin ",D,"3,646",,,
CA,15,,"Peacock, Bill ",D,"22,499",,,
CA,15,,"Vlakancic, Connor ",D,"1,449",,,
CA,15,,"Wimmers, Ed ",LBT,"2,566",,"4,820",
CA,15,,"Gorney, Douglas C. ",NL,"1,350",,"3,591",
CA,15,,"Cunneen, Jim ",R,"53,282",,"99,866",
CA,15,,"Mead, Dale C. ",R,"8,638",,,
CA,15,,"Kronzer, Phillip",W,,,82,
CA,16,(I),"Lofgren, Zoe ",D,"72,515",,"115,118",
CA,16,,"Umphress, Dennis Michael ",LBT,"2,914",,"4,742",
CA,16,,"Klein, Edward J. ",NL,"1,764",,"2,673",
CA,16,,"Thayn, Horace ""Gene"" ",R,"23,652",,"37,213",
CA,17,,"Dunn, Art ",D,"2,271",,,
CA,17,(I),"Farr, Sam ",D,"83,275",,"143,219",
CA,17,,"Grossman, Joe ",D,"8,104",,,
CA,17,,"Whitmore, Debra ",D,"7,661",,,
CA,17,,"Coffin, E. Craig ",GRN,"2,790",,"8,215",
CA,17,,"Garrett, Rick S. ",LBT,"1,696",,"2,510",
CA,17,,"Hartley, Scott R. ",NL,662,,996,
CA,17,,"Dooley, Carole ",R,"6,495",,,
CA,17,,"Engler, Clint ",R,"21,258",,"51,557",
CA,17,,"Roberts, Rob ",R,"11,467",,,
CA,17,,"Fenton, Larry ",REF,"1,152",,"2,263",
CA,18,(I),"Condit, Gary A. ",D,"80,543",,"121,003",
CA,18,,"McAfee, Rodger ",D,"6,142",,,
CA,18,,"Riskin, Page Roth ",NL,"1,262",,"2,860",
CA,18,,"Wilson, Steve R. ",R,"35,335",,"56,465",
CA,19,,"Kaiser, Edmon V. ",AIP,"1,147",,"1,266",
CA,19,,"Hernandez, John S. ",D,"15,647",,,
CA,19,,"Rosenberg, Dan ",D,"33,921",,"70,578",
CA,19,,"Taylor, Elizabeth ",LBT,"3,256",,"4,264",
CA,19,,"Miller, Bob ",NL,"1,220",,"1,990",
CA,19,(I),"Radanovich, George ",R,"109,723",,"144,517",
CA,20,(I),"Dooley, Cal ",D,"43,608",,"66,235",
CA,20,,"Kriegbaum, Arnold ",LBT,"1,144",,"1,320",
CA,20,,"Ruehlig, Walter Kenneth ",NL,999,,"1,416",
CA,20,,"Rodriguez, Rich ",R,"38,661",,"57,563",
CA,21,,"Martinez, Pedro ""Pete"" Jr.",D,"29,511",,"49,318",
CA,21,,"Manion, James R. S. ",LBT,"5,430",,"7,243",
CA,21,(I),"Thomas, Bill ",R,"98,088",,"142,539",
CA,22,(I),"Capps, Lois ",D,"105,850",,"135,538",
CA,22,,"Furcinite, Joe ",LBT,"1,462",,"2,060",
CA,22,,"Aguirre, J. Carlos ",NL,"1,244",,"1,888",
CA,22,,"Rowe, Allen ",R,"8,385",,,
CA,22,,"Stoker, Mike ",R,"73,256",,"113,094",
CA,22,,"Porter, Richard D. ""Dick"" ",REF,"1,330",,"2,490",
CA,23,,"Case, Michael ",D,"36,221",,"89,918",
CA,23,,"Goldberg, Albert Maxwell ",D,"8,786",,,
CA,23,,"Peebles, Roger ",LBT,"2,994",,"3,708",
CA,23,,"Hospodar, Stephen P. ",NL,"1,247",,"1,456",
