year,y
2000,-12.740153061
2002,-13.8360530875
2004,-12.2378534444
2006,-13.577397947
2008,-10.8831875265
2010,0.100863366912
2012,-12.1785406149
2014,-17.6340480953
2016,-13.9233304138
